Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,13.03,Put,12.5,2023-11-24,6,0.17,0.18,0.19,0.17,1113,343,3.24,57.23%,-0.277096,2023-11-17
GME,12.9,Put,12.5,2023-11-17,2,0.11,0.12,0.13,0.13,1505,872,1.73,76.12%,-0.280232,2023-11-14
GME,16.25,Put,12.5,2023-12-08,8,0.37,0.41,0.45,0.43,802,451,1.78,199.42%,-0.150339,2023-11-29
GME,21.66,Put,12.5,2024-01-19,361,2.9,3.03,3.15,3.05,1067,675,1.58,110.36%,-0.139619,2023-01-23
GME,212.31,Put,12.5,2021-10-15,113,0.12,0.14,0.15,0.15,16386,182,90.03,213.26%,-0.001441,2021-06-24
GME,21.05,Put,12.5,2023-04-21,127,1.4,1.46,1.53,1.47,1945,1426,1.36,121.52%,-0.134915,2022-12-14
GME,15.3,Put,13,2023-12-08,6,0.45,0.46,0.47,0.47,1788,866,2.06,181.71%,-0.207814,2023-12-01
GME,13.44,Put,13,2023-10-27,6,0.26,0.29,0.31,0.3,1277,565,2.26,71.72%,-0.34456,2023-10-20
GME,13.49,Put,13,2023-12-01,2,0.32,0.33,0.34,0.33,1785,594,3.01,137.80%,-0.340369,2023-11-28
GME,16.38,Put,13,2023-03-17,66,1.77,1.79,1.8,1.78,11410,1356,8.41,132.02%,-0.240746,2023-01-09
GME,13.16,Put,13,2023-10-27,7,0.39,0.43,0.46,0.42,561,139,4.04,67.86%,-0.433263,2023-10-19
GME,13.12,Put,13,2023-11-03,6,0.39,0.4,0.4,0.39,730,179,4.08,66.25%,-0.443617,2023-10-27
GME,15.96,Put,13,2024-02-16,41,0.21,0.23,0.25,0.24,616,300,2.05,60.15%,-0.134489,2024-01-05
GME,12.8,Put,13,2023-11-24,3,0.35,0.37,0.38,0.34,1077,754,1.43,53.30%,-0.619912,2023-11-20
GME,14.84,Put,13,2023-12-15,8,0.8,0.84,0.87,0.85,1563,693,2.26,195.80%,-0.274223,2023-12-06
GME,17.26,Put,13,2023-11-17,87,0.59,0.64,0.68,0.68,900,336,2.68,74.32%,-0.169278,2023-08-22
GME,14.84,Put,13,2023-12-08,1,0.52,0.54,0.55,0.52,5300,4064,1.3,423.37%,-0.239499,2023-12-06
GME,16.25,Put,13,2023-12-08,8,0.51,0.54,0.57,0.6,885,354,2.5,197.00%,-0.1815,2023-11-29
GME,20.99,Put,13,2021-02-19,53,0.83,0.87,0.9,0.83,1078,223,4.83,138.08%,N/A,2020-12-28
GME,18.75,Put,13,2023-10-20,43,0.3,0.33,0.36,0.31,1546,296,5.22,92.87%,-0.095927,2023-09-06
GME,16.36,Put,13,2023-12-15,7,0.13,0.14,0.14,0.13,2600,1875,1.39,131.11%,-0.087835,2023-12-07
GME,13.44,Put,13.5,2023-10-27,6,0.47,0.51,0.54,0.53,683,423,1.61,71.72%,-0.503934,2023-10-20
GME,14.91,Put,13.5,2023-12-15,9,0.85,0.88,0.9,0.86,675,321,2.1,163.96%,-0.304139,2023-12-05
GME,13.53,Put,13.5,2023-11-10,3,0.28,0.29,0.3,0.3,1003,589,1.7,63.86%,-0.475757,2023-11-06
GME,16.25,Put,13.5,2023-12-01,1,0.1,0.11,0.12,0.11,6004,1403,4.28,282.61%,-0.09227,2023-11-29
GME,14.6,Put,13.5,2023-10-20,16,0.29,0.33,0.38,0.32,615,252,2.44,62.81%,-0.257934,2023-10-03
GME,17.25,Put,13.5,2023-03-24,14,0.18,0.19,0.2,0.19,592,403,1.47,107.50%,-0.100756,2023-03-10
GME,13.77,Put,13.5,2023-11-03,2,0.2,0.22,0.24,0.23,1011,508,1.99,86.22%,-0.367529,2023-10-31
GME,16.25,Put,13.5,2023-12-08,8,0.54,0.64,0.74,0.67,3840,100,38.4,194.84%,-0.216006,2023-11-29
GME,16.36,Put,13.5,2023-12-15,7,0.19,0.21,0.22,0.22,986,657,1.5,134.97%,-0.131577,2023-12-07
GME,20.63,Put,13.75,2023-02-17,36,0.77,0.8,0.84,0.77,2073,431,4.81,145.94%,-0.130746,2023-01-12
GME,25.14,Put,13.75,2022-12-16,37,0.29,0.33,0.38,0.36,3652,478,7.64,143.83%,-0.060053,2022-11-08
GME,18.55,Put,14,2023-09-08,7,0.14,0.2,0.26,0.19,656,462,1.42,164.19%,-0.088488,2023-08-31
GME,15.73,Put,14,2024-02-16,36,0.36,0.43,0.49,0.43,757,524,1.44,57.52%,-0.235064,2024-01-10
GME,15.55,Put,14,2023-12-22,13,0.39,0.41,0.43,0.41,4433,2027,2.19,89.55%,-0.241953,2023-12-08
GME,16.36,Put,14,2023-12-22,14,0.5,0.54,0.58,0.55,2122,248,8.56,120.78%,-0.219557,2023-12-07
GME,16.87,Put,14,2023-03-24,4,0.24,0.25,0.25,0.25,1640,1082,1.52,181.48%,-0.140283,2023-03-20
GME,14.04,Put,14,2023-10-27,2,0.32,0.35,0.37,0.35,1104,535,2.06,88.90%,-0.470975,2023-10-24
GME,14.6,Put,14,2023-10-20,16,0.48,0.52,0.55,0.5,2488,486,5.12,63.11%,-0.354686,2023-10-03
GME,17.92,Put,14,2023-01-13,16,0.36,0.4,0.43,0.39,505,222,2.27,126.52%,-0.142108,2022-12-28
GME,14.55,Put,14,2023-12-01,0,0.17,0.18,0.19,0.18,8092,2529,3.2,133.57%,-0.278127,2023-11-30
GME,16.25,Put,14,2023-12-01,1,0.19,0.2,0.2,0.19,7050,441,15.99,286.22%,-0.142461,2023-11-29
GME,13.49,Put,14,2023-12-01,2,0.9,0.93,0.95,0.99,526,119,4.42,156.70%,-0.60395,2023-11-28
GME,12.72,Put,14,2021-01-15,32,2.49,2.67,2.85,2.65,3446,2707,1.27,124.82%,N/A,2020-12-14
GME,13.87,Put,14,2023-11-10,7,0.48,0.52,0.55,0.5,651,208,3.13,55.24%,-0.53733,2023-11-03
