Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,260,Call,275,2021-03-12,1,8.1,9.05,10,10,2151,1550,1.39,294.36%,N/A,2021-03-11
GME,260,Call,320,2021-03-12,1,4.2,4.6,5,4.65,1149,804,1.43,387.70%,N/A,2021-03-11
GME,260,Call,500,2021-03-12,1,1.3,1.4,1.5,1.5,6542,4356,1.5,668.86%,N/A,2021-03-11
GME,260,Call,420,2021-03-12,1,2,2.27,2.54,2.02,1789,1169,1.53,558.25%,N/A,2021-03-11
GME,260,Call,255,2021-03-12,1,15.05,15.93,16.8,16,993,564,1.76,248.49%,N/A,2021-03-11
GME,260,Call,280,2021-03-12,1,8.4,9.2,10,8.4,2257,1047,2.16,293.24%,N/A,2021-03-11
GME,260,Call,285,2021-03-12,1,6.45,8.05,9.65,6.4,1352,504,2.68,313.95%,N/A,2021-03-11
GME,260,Call,410,2021-03-12,1,1.47,2.12,2.77,1.53,1170,414,2.83,508.06%,N/A,2021-03-11
GME,260,Call,540,2021-03-12,1,0.72,1.23,1.73,1.3,541,188,2.88,712.12%,N/A,2021-03-11
GME,260,Call,305,2021-03-12,1,5.5,6.2,6.9,5.7,1719,577,2.98,356.32%,N/A,2021-03-11
GME,260,Call,270,2021-03-12,1,11,11.25,11.5,10.85,3226,1072,3.01,284.88%,N/A,2021-03-11
GME,260,Call,265,2021-03-12,1,10.95,12.65,14.35,14.35,2190,537,4.08,305.58%,N/A,2021-03-11
GME,264.5,Call,320,2021-03-19,6,29.25,29.85,30.45,29.8,1062,815,1.3,358.70%,N/A,2021-03-12
GME,264.5,Call,275,2021-03-12,0,0.15,0.16,0.16,0.16,10265,1761,5.83,47.29%,N/A,2021-03-12
GME,264.5,Call,240,2021-03-12,0,22.85,23.98,25.1,23.53,1587,1208,1.31,131.45%,N/A,2021-03-12
GME,264.5,Call,405,2021-03-12,0,0.01,0.03,0.06,0.23,632,409,1.55,290.54%,N/A,2021-03-12
GME,264.5,Call,650,2021-04-16,34,38.2,40.18,42.15,39.5,3863,2763,1.4,330.49%,N/A,2021-03-12
GME,264.5,Call,270,2021-03-12,0,0.05,0.2,0.35,0.5,6871,1728,3.98,30.77%,N/A,2021-03-12
GME,264.5,Call,245,2021-03-12,0,17.45,18.73,20,20.66,639,401,1.59,104.71%,N/A,2021-03-12
GME,264.5,Call,390,2021-03-19,6,18.8,19.43,20.05,19.65,628,356,1.76,389.14%,N/A,2021-03-12
GME,264.5,Call,700,2021-03-19,6,5.5,6.2,6.9,6.4,2544,1372,1.85,483.09%,N/A,2021-03-12
GME,264.5,Call,340,2021-03-19,6,25.1,26.3,27.5,26.3,823,440,1.87,368.58%,N/A,2021-03-12
GME,264.5,Call,600,2021-03-19,6,8,8.45,8.9,8.44,7587,3790,2,458.30%,N/A,2021-03-12
GME,264.5,Call,250,2021-03-12,0,13.05,14.4,15.75,14.09,6080,2857,2.13,109.79%,N/A,2021-03-12
GME,264.5,Call,270,2021-03-19,6,44,45.5,47,45.5,3287,1361,2.42,355.69%,N/A,2021-03-12
GME,264.5,Call,255,2021-03-12,0,7.85,9.23,10.6,8.9,1592,648,2.46,79.32%,N/A,2021-03-12
GME,264.5,Call,280,2021-03-19,6,41,42.15,43.3,41.79,1733,700,2.48,356.14%,N/A,2021-03-12
GME,264.5,Call,12,2021-04-16,34,248.4,254.23,260.05,262,1550,533,2.91,626.92%,N/A,2021-03-12
GME,264.5,Call,265,2021-03-12,0,0.55,0.78,1,1.03,3803,1217,3.12,18.31%,N/A,2021-03-12
GME,264.5,Call,310,2021-03-19,6,31.65,33.1,34.55,33,621,477,1.3,362.35%,N/A,2021-03-12
GME,264.5,Call,260,2021-03-12,0,3.2,4.48,5.75,5.75,4966,1556,3.19,54.70%,N/A,2021-03-12
GME,220.14,Call,380,2021-03-19,4,9.15,9.83,10.5,10.2,661,509,1.3,482.52%,N/A,2021-03-15
GME,220.14,Call,350,2021-03-26,11,32.45,34.1,35.75,30.25,840,581,1.45,440.71%,N/A,2021-03-15
GME,220.14,Call,700,2021-03-19,4,2.35,2.62,2.88,2.5,2076,1372,1.51,579.59%,N/A,2021-03-15
GME,220.14,Call,260,2021-03-19,4,27.25,27.83,28.4,27.7,1606,1033,1.55,452.47%,N/A,2021-03-15
GME,220.14,Call,270,2021-03-19,4,24.65,25.33,26,25.76,2122,1361,1.56,460.32%,N/A,2021-03-15
GME,220.14,Call,570,2021-03-19,4,3.3,3.95,4.6,3.95,658,413,1.59,546.92%,N/A,2021-03-15
