Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,12.930000,13.080000,11.440000,11.900000,11.900000,613500
2021-02-24,12.080000,20.280001,11.880000,18.440001,18.440001,13351700
2021-02-25,32.599998,35.049999,18.930000,21.530001,21.530001,38329400
2021-02-26,19.100000,22.620001,16.049999,16.709999,16.709999,8703600
2021-03-01,16.820000,20.879999,16.000000,18.950001,18.950001,8323500
2021-03-02,17.330000,19.410000,16.150000,16.190001,16.190001,3695700
2021-03-03,16.930000,17.709999,16.110001,16.920000,16.920000,1755200
2021-03-04,16.110001,17.250000,14.910000,15.300000,15.300000,2749500
2021-03-05,15.530000,16.129999,13.530000,14.780000,14.780000,1900400
2021-03-08,15.540000,20.379999,15.000000,18.850000,18.850000,9903600
2021-03-09,19.350000,20.680000,17.080000,17.900000,17.900000,5707800
2021-03-10,25.230000,40.480000,23.200001,30.280001,30.280001,60298900
2021-03-11,26.990000,29.730000,24.400000,25.219999,25.219999,7933400
2021-03-12,26.750000,33.990002,26.100000,27.879999,27.879999,16085300
2021-03-15,30.230000,31.980000,27.000000,28.900000,28.900000,5008300
2021-03-16,27.440001,28.450001,26.000000,26.700001,26.700001,2670800
2021-03-17,27.700001,29.879999,27.000000,27.440001,27.440001,3196600
2021-03-18,28.299999,28.490000,25.350000,25.510000,25.510000,1588600
2021-03-19,25.450001,27.200001,23.670000,25.500000,25.500000,1633900
2021-03-22,24.930000,25.200001,23.450001,23.799999,23.799999,925900
2021-03-23,23.080000,25.469999,20.400000,20.750000,20.750000,1492600
2021-03-24,20.360001,20.549999,16.260000,16.420000,16.420000,1392800
2021-03-25,16.000000,26.000000,15.850000,25.799999,25.799999,19814700
2021-03-26,25.000000,25.139999,19.500000,21.129999,21.129999,4595800
2021-03-29,22.129999,26.500000,21.200001,21.200001,21.200001,3391800
2021-03-30,22.660000,24.700001,21.870001,22.850000,22.850000,3474000
2021-03-31,23.450001,23.809999,21.740000,22.490000,22.490000,1907700
2021-04-01,22.500000,26.900000,21.879999,23.200001,23.200001,4722200
2021-04-05,23.200001,24.780001,22.500000,23.059999,23.059999,1526000
2021-04-06,23.200001,23.889999,22.370001,22.680000,22.680000,741600
2021-04-07,22.900000,22.910000,21.020000,21.440001,21.440001,659300
2021-04-08,22.200001,22.820000,21.100000,21.520000,21.520000,411500
2021-04-09,21.570000,21.620001,19.400000,20.290001,20.290001,569300
2021-04-12,20.230000,20.440001,18.299999,19.090000,19.090000,833300
2021-04-13,18.900000,19.770000,18.260000,19.400000,19.400000,401800
2021-04-14,19.190001,21.900000,19.049999,19.410000,19.410000,2080900
2021-04-15,19.500000,19.760000,18.860001,19.180000,19.180000,529700
2021-04-16,18.900000,19.270000,18.410000,18.950001,18.950001,397600
2021-04-19,19.950001,20.000000,18.700001,18.700001,18.700001,510900
2021-04-20,18.650000,18.850000,17.799999,18.010000,18.010000,275500
2021-04-21,18.000000,19.490000,17.530001,19.370001,19.370001,500000
2021-04-22,19.620001,19.620001,18.600000,19.170000,19.170000,439200
2021-04-23,19.219999,19.270000,18.730000,18.799999,18.799999,261500
2021-04-26,18.799999,21.490000,18.799999,20.240000,20.240000,1825700
2021-04-27,20.570000,21.500000,19.580000,19.790001,19.790001,746300
2021-04-28,19.870001,19.990000,18.879999,19.500000,19.500000,429600
2021-04-29,19.930000,19.930000,18.799999,19.280001,19.280001,423200
2021-04-30,18.879999,20.490000,18.610001,18.700001,18.700001,919300
2021-05-03,19.180000,19.180000,18.309999,18.600000,18.600000,249700
2021-05-04,18.260000,18.540001,17.110001,17.959999,17.959999,322700
2021-05-05,17.969999,18.379999,17.049999,17.059999,17.059999,258300
2021-05-06,17.110001,17.270000,16.500000,16.690001,16.690001,247000
2021-05-07,16.700001,17.670000,16.700001,17.219999,17.219999,276800
2021-05-10,16.969999,17.040001,16.010000,16.100000,16.100000,300000
2021-05-11,15.810000,17.299999,15.570000,16.770000,16.770000,341600
2021-05-12,16.740000,16.969999,16.020000,16.320000,16.320000,193400
2021-05-13,16.379999,20.389999,15.580000,18.250000,18.250000,5870200
2021-05-14,18.020000,18.879999,17.219999,18.549999,18.549999,1368800
2021-05-17,18.459999,19.770000,18.110001,18.799999,18.799999,2121400
2021-05-18,19.000000,19.600000,18.120001,18.240000,18.240000,1779400
2021-05-19,18.000000,18.000000,16.799999,17.209999,17.209999,535700
2021-05-20,17.200001,17.690001,16.879999,17.340000,17.340000,504400
2021-05-21,17.400000,17.959999,17.000000,17.150000,17.150000,368700
2021-05-24,17.160000,17.650000,16.590000,16.910000,16.910000,1327900
2021-05-25,16.900000,21.250000,16.750000,20.780001,20.780001,5385600
2021-05-26,21.610001,22.889999,19.910000,20.680000,20.680000,8739500
2021-05-27,19.850000,23.110001,19.360001,22.820000,22.820000,6530600
2021-05-28,26.260000,28.870001,22.299999,23.070000,23.070000,7496000
2021-06-01,24.570000,25.730000,23.299999,24.150000,24.150000,3929700
2021-06-02,26.309999,43.919998,25.209999,40.720001,40.720001,19428200
2021-06-03,37.549999,37.770000,28.059999,30.830000,30.830000,10770100
2021-06-04,30.290001,31.639999,26.670000,26.950001,26.950001,3484000
2021-06-07,27.160000,30.860001,27.150000,27.600000,27.600000,6778900
2021-06-08,28.820000,31.650000,26.950001,28.330000,28.330000,6455200
2021-06-09,27.879999,29.150000,25.580000,26.320000,26.320000,2951500
2021-06-10,25.309999,25.950001,23.290001,24.620001,24.620001,1274300
2021-06-11,24.660000,25.700001,23.559999,25.290001,25.290001,884000
2021-06-14,25.540001,26.400000,24.059999,25.280001,25.280001,1412300
2021-06-15,25.120001,25.290001,23.520000,24.410000,24.410000,793900
2021-06-16,24.000000,24.000000,22.500000,23.200001,23.200001,655900
2021-06-17,22.820000,24.600000,22.650000,23.900000,23.900000,822100
2021-06-18,23.299999,24.040001,22.620001,22.820000,22.820000,397100
2021-06-21,23.500000,23.500000,21.700001,22.750000,22.750000,322300
2021-06-22,23.170000,24.680000,22.610001,24.000000,24.000000,970500
2021-06-23,24.000000,25.290001,23.719999,24.780001,24.780001,538900
2021-06-24,24.490000,24.650000,23.340000,23.490000,23.490000,368600
2021-06-25,23.330000,26.469999,22.670000,24.680000,24.680000,1770200
2021-06-28,24.650000,26.250000,23.840000,24.290001,24.290001,906100
2021-06-29,24.299999,24.500000,23.049999,23.290001,23.290001,471200
2021-06-30,23.170000,23.590000,22.950001,23.219999,23.219999,452500
2021-07-01,23.440001,23.440001,21.719999,21.900000,21.900000,632100
2021-07-02,22.000000,22.180000,21.020000,21.190001,21.190001,268200
2021-07-06,21.190001,21.590000,20.350000,20.719999,20.719999,246800
2021-07-07,20.360001,20.660000,19.309999,20.160000,20.160000,265900
2021-07-08,18.840000,21.440001,18.700001,21.219999,21.219999,359300
2021-07-09,20.670000,20.950001,20.200001,20.530001,20.530001,150300
2021-07-12,20.040001,20.719999,19.799999,20.490000,20.490000,179300
2021-07-13,20.170000,20.170000,19.700001,19.750000,19.750000,108600
2021-07-14,20.150000,20.200001,19.170000,19.190001,19.190001,152500
2021-07-15,19.000000,19.440001,18.520000,19.270000,19.270000,152500
2021-07-16,19.400000,19.520000,18.030001,18.160000,18.160000,240100
2021-07-19,18.020000,18.540001,17.080000,18.510000,18.510000,249000
2021-07-20,18.450001,19.870001,18.090000,19.389999,19.389999,321600
2021-07-21,19.250000,19.990000,18.820000,19.170000,19.170000,153900
2021-07-22,19.150000,19.330000,18.650000,18.990000,18.990000,76700
2021-07-23,18.600000,18.900000,17.840000,18.360001,18.360001,148700
2021-07-26,18.400000,19.370001,18.370001,19.120001,19.120001,158300
2021-07-27,18.570000,18.730000,17.600000,18.330000,18.330000,125100
2021-07-28,17.980000,19.110001,17.830000,18.750000,18.750000,122600
